Simon Koo,3039410765
Saturnino Garcia,2145705420
Kathleen Kramer,2993133232
Susan Lord,2159339470
Carsten Zimmermann,2171114049
John Glick,2008594878
Matthew Gigli,2484001018
Carl Rebman,2167590060
Dov Fox,2684532650
Thomas Schubert,2427807999
Ernest Kim,2161248313
Frank Jacobitz,2202736517
Jillian Phillips,2131085937
Vitaliy Popov,2155659849
Miriam Rothman,2314933973
Jean-Luc Thebert,2524734788
Ming Huang,3002351090
D.M. Tawy,2227767255
M.L. Higa,2463325046
Odesma Dalrymple,2024101101
Eric Jiang,2106956630
Rachel Blaser,2303158534
Mark Zocher,2230658083
B.T. Korel,2220002202
Yang Jiang,2805247378
Laura Becerra,3019581437
David McGowan,2486620699
Dan Partynski,2224842933
Mark Heckman,2308735022
Christopher Daley,2250448263
Adam Haberman,2071516358
Hwang Gunn,2873131871
Ted Sichelman,2295883590
Michael Shulman,1983481785
Theodore Yu,2423502034
Cynthia Connelly,2031429118
Susie Hutchins,2315129382
Elizabeth Bamgbose,2898812380
Darren Davis,2540660768
Georg Matt,2624449978
Johanna Hunsaker,2032780102
Phillip Hunsaker,2520716690
Johan Perols,2724510425
Ed Vul,2781447637
Cynthia Pavett,26475797
Jack Pope,2149879584
A. Yilmaz,2677519673
D. Little,2973880398
Xufei Qian,3033106816
E. Ross,3033122327
S. Santini,3033619484
M. Martone,3033635428
A. Gupta,3033971253
V. Astakhov,3034135886
Yen-Ting Lin,2253726526
Jessica Hoffman,2614460532
Ricardo Dominguez,2924047059
Ilya Zaslaksky,2616697091
Christopher Newman,2155613266
Leonard Perry,2124942343
Grant Ferrell,2160685758
I. Jacobs,2566447508
Katie Miller,2510672023
Lauren Schopp,2514280558
Kelly Nesseth,2578404147
Sujit Dey,2780161284
Breanne Przestrzelski,2912142079
J.A. Geremia,2228617551
Fred Galloway,2308029996
Ahmer Karim,2115254766
Joel Mejia,2435443733
Diana Chen,2577346424
Elizabeth Reddy,2808279784
Luby Liao,2278453382
Candice Price,2728230059
David Mayhew,2935821419
Lawrence Hinman,2062831605
Vicente Vargas,2577906421
Twain Glaser,2342972694
Nicole Nino,2342976507
Barton Thurber,2150979918
Ann Garland,2695604824
K.A. Kramer,3037099742
Mary Durkin,2911575251
Kelly Riddle,2294860536
Jr. Schubert,2952173768
Peter Wu,2907994677
Michèle Magnin,2336911043
Michael Morse,2149678404
S.D. Alsaialy,2225430016
P.M. Burkhard,2655398887
J.-U. Meyer,2832342452
R.H. White,2497241299
Yaoran Li,2106705781
Andrea Clark,2805690453
Caitlin Fanning,2791326095
James Guymon,2997180158
Gordon Romney,3034375247
Roger Pace,2110949978
Judith Lihosit,2278018219
Jane Larrington,2566246992
Pavan Nuggehalli,2917358852
Carlos-Miguel Lorenzo,2102718777
Cyd Burrows,2114346118
Eugene Rathswohl,2679716927
Yusuf Ozturk,3007344997
Peter Iovine,734972405
Shahra Meshkaty,111267295
Richard Custin,2608711582
Mudasser Wyne,2541318194
Cristian Aquino-Sterling,2609260756
Inigo Yanguas,2985468528
Paul Rodriguez,2552200971
Kenneth Walsh,2975089109
Christopher Marcum,2979486234
Allison Czapracki,300830777
Dennis Carlson,2997166901
Markel Tumlin,2745106729
Austin Pavin,3018188138
Allison DeHart,3018575702
Kevin Fain,3020721812
D.D. Sworder,2868847725
Simon Croom,1971690853
Miranda Fleischer,2601728264
Alejandro Meter,2142409677
Ginger Pierson,2562038745
Helen Henry,2282018353
Julia Hess,2602669835
Melanie Hubbard,2413161165
Kelsey Engelhardt,2701241045
S. McFarr,2344426879
D. Maglidt,2344959672
S.S. Erdogan,2418844997
Nancy Carter,2101654214
Margaret Dalton,2315751372
Danielle Bremner,2265600302
Loraine Graves,2229136545
M. Schoettler,2607496082
H.D.I. Abarbanel,2490593388
S. Koo,2973482535
Thurber Barton,2593145070
Gary Whitney,2165008280
Bart Thurber,1977287491
Michael Strait,2472749134
Maria Schutt,2763683963
Robert Dutnall,2669420634
Michael Chiles,2595377475
John Paul,2625050424
Jeff Wright,2688070250
Adrian Lyons,2222641135
Andrew Gerry,2229334997
Jane Friedman,2100700970
Julie Su,2314884884
Diane Maher,2639276508
V. Stover,2312265138
Charles Teplitz,1978289043
E. Arnold,2108120343
Frank Belcastro,2313301160
Ronald Graham,https://scholar.google.com/citations?hl=en&user=qrPaF3QAAAAJ
Mihir Bellare,https://scholar.google.com/citations?hl=en&user=2pW1g5IAAAAJ
Pavel Pevzner,https://scholar.google.com/citations?hl=en&user=0fq5QeIAAAAJ
David Kriegman,https://scholar.google.com/citations?hl=en&user=EqetexsAAAAJ
